6.4G	Kick (2009)
7.6G	Kick 2 (2015)
3.9G	King (2008)
4.3G	King Of Kotha (2023)
3.0G	Knives Out (2019)
2.8G	Knives Out 2꞉ Glass Onion (2022)
1.8G	Knock at the Cabin (2023)
2.2G	Kotha Janta (2014)
3.5G	Krack (2021)
6.5G	Kraven꞉ The Hunter (2024)
4.7G	Krishna Gaadi Veera Prema Gaadha (2016)
4.2G	Krishnarjuna Yudham (2018)
12G	Krrish 3 (2013)
4.0G	Kshanam (2016)
11G	Kuberaa (2025)
3.2G	Kushi (2023)
3.2G	Laila (2025)
13G	Leader (2010)
7.4G	Leo (2023)
3.0G	LIE (2017)
6.1G	Life of Pi (2012)
3.4G	Liger꞉ Saala Crossbreed (2022)
4.6G	Lightyear (2022)
5.7G	Lilo and Stitch (2025)
4.2G	London Has Fallen (2016)
3.0G	Love Aaj Kal (2009)
6.7G	Love And Monsters (2020)
4.9G	Love Me If You Dare (2024)
4.2G	Love Story (2021)
2.8G	Love Today (2022)
8.3G	Lover (2018)
2.8G	Lover (2024)
6.5G	Lucky Baskha₹ (2024)
3.9G	M3GAN (2023)
7.2G	M3GAN 2.0 (2025)
2.7G	Maanaadu (2021)
3.3G	MAD (2023)
5.5G	MAD Square (2025)
4.3G	Madagascar 3꞉ Europe's Most Wanted (2012)
7.9G	Madame Web (2024)
3.3G	Maestro (2021)
6.9G	Magadheera (2009)
4.5G	Maha Samudram (2021)
4.8G	Mahanubhavudu (2017)
5.8G	Maharshi (2019)
4.0G	Majnu (2016)
3.8G	Major (2022)
5.3G	Malang (2020)
5.5G	Malli Malli Idi Rani Roju (2015)
12G	Man of Steel (2013)
5.1G	Manam (2014)
6.6G	Manamey (2024)
2.4G	Manchi Rojulochaie (2021)
4.8G	Manjummel Boys (2024)
4.5G	Marakathamani (2017)
3.7G	Masala (2013)
6.6G	MASTER (2021)
4.8G	MCA꞉ Middle Class Abbayi (2017)
3.0G	Mechanic Rocky (2024)
4.0G	Meesaya Murukku (2017)
5.7G	Midnight in Paris (2011)
8.8G	Midway (2019)
12G	Mirchi (2013)
2.5G	Mission꞉ Impossible - Dead Reckoning Part 1 (2023)
2.5G	Mission꞉ Impossible - Fallout (2018)
2.3G	Mission꞉ Impossible - Rogue Nation (2015)
6.0G	Moonfall (2022)
4.1G	Morbius (2022)
3.9G	Mortal Kombat (2021)
2.3G	Most Eligible Bachelor (2021)
2.3G	Mr. Majnu (2019)
5.0G	Mr. Perfect (2011)
5.8G	Mufasa꞉ The Lion King (2025)
1.9G	Murder Mystery (2019)
6.9G	Murder Mystery 2 (2023)
3.3G	Naa Peru Surya, Naa Illu India (2018)
2.8G	Naa Saami Ranga (2024)
9.5G	Naanum Rowdy Dhaan (2015)
5.4G	Nannaku Prematho (2016)
2.0G	National Treasure (2004)
3.3G	National Treasure 2꞉ Book of Secrets (2007)
5.2G	Nee Jathaga Nenundali (2014)
3.2G	Need For Speed (2014)
3.0G	Nene Raju Nene Mantri (2017)
3.0G	Nenu Local (2017)
4.9G	Nenu Sailaja (2016)
8.3G	Nightcrawler (2014)
6.6G	Ninnila Ninnila (2021)
8.8G	Ninnu Kori (2017)
2.1G	Nobody (2021)
5.3G	NOTA (2018)
2.8G	Now You See Me (2013)
4.0G	Now You See Me 2 (2016)
2.3G	Ocean's Eight (2018)
6.2G	Onward (2020)
7.7G	Oohalu Gusagusalade (2014)
5.4G	Oopiri (2016)
5.0G	Ooru Peru Bhairavakona (2024)
1.8G	Operation Fortune꞉ Ruse De Guerre (2023)
5.0G	Orange (2010)
3.5G	Ori Devuda (2022)
2.3G	Paagal (2021)
3.9G	Pacific Rim (2013)
5.5G	Padi Padi Leche Manasu (2018)
11G	Padmaavat (2018)
5.7G	Panjaa (2011)
6.9G	Paper Towns (2015)
5.3G	Pathaan (2023)
6.7G	Pattudala (2025)
4.1G	Pelli Choopulu (2016)
3.6G	Peter Rabbit 2꞉ The Runaway (2021)
4.3G	Petta (2019)
5.0G	Pilla Zamindar (2011)
4.5G	Pirates of the Caribbean꞉ Dead Men Tell No Tales (2017)
3.6G	Pirates of the Caribbean꞉ The Curse of the Black Pearl (2003)
2.6G	Pixels (2015)
3.3G	Pizza (2012)
2.4G	Plane (2023)
3.0G	Playing With Fire (2019)
2.9G	Pokémon꞉ Detective Pikachu (2019)
5.2G	Prema Kavali (2010)
2.9G	Premalu (2024)
4.3G	Premam (2016)
2.1G	Primer (2004)
2.7G	Prince (2022)
2.5G	Prince of Persia꞉ The Sands of Time (2010)
3.0G	Project Almanac (2014)
3.5G	Pushpa꞉ The Rise - Part 1 (2021)
4.8G	Pushpa꞉ The Rule - Part 2 (2024) [RELOADED VERSION]
12G	Ra. One (2011)
11G	Raanjhanaa (2013)
8.1G	Raavanan (2010)
3.8G	Rab Ne Bana Di Jodi (2008)
5.0G	Race Gurram (2014)
4.9G	Racha (2012)
8.0G	Radhe Shyam (2022)
12G	Raees (2017)
9.7G	Ragada (2010)
4.1G	Raghuvaran B.Tech (2014)
4.2G	Raja The Great (2017)
2.6G	Raju Gari Gadhi (2015)
6.9G	Raju Gari Gadhi 2 (2017)
7.3G	Rakshasudu (2015)
2.8G	Rakshasudu (2019)
5.0G	Ramayya Vastavayya (2013)
3.7G	Rampage (2018)
4.9G	Rang De (2021)
2.3G	Ranga Ranga Vaibhavanga (2022)
5.7G	Rangasthalam (2018)
2.7G	Rarandoi Veduka Chuddam (2017)
9.0G	Ravanasura (2023)
8.9G	Ready Player One (2018)
4.4G	Real Steel (2011)
3.3G	Red (2010)
3.2G	RED (2021)
2.3G	Red Notice (2021)
4.2G	Red One (2024)
3.0G	Republic (2021)
2.1G	Resident Evil꞉ Welcome to Raccoon City (2021)
4.0G	Retribution (2023)
7.5G	RETRO (2025)
8.7G	Road House (2024)
2.3G	Robin Hood (2018)
2.6G	Robinhood (2025)
2.5G	Robot (2010)
3.8G	Rockstar (2011)
11G	RRR (2022)
4.7G	Run Raja Run (2014)
6.3G	Saaho (2019)
4.0G	Saba Nayagan (2023)
8.6G	Sahasam Swasaga Sagipo (2016)
3.0G	Saindhav (2024)
10G	Salaar꞉ Part 1 - Ceasefire (2023)
3.6G	Sammathame (2022)
2.7G	Sammohanam (2018)
3.3G	San Andreas (2015)
13G	Sanju (2018)
2.9G	Sankranthiki Vasthunam (2025)
4.3G	Sapta Sagaradaache Ello - Side A (2023)
5.0G	Sarileru Neekevvaru (2020)
2.8G	Saripodhaa Sanivaaram (2024)
1.9G	Sarkar (2018)
3.7G	Sarkaru Vaari Paata (2022)
5.3G	Sarocharu (2013)
8.9G	Sarrainodu (2016)
3.1G	Sathyam Sundaram (2024)
11G	Savyasachi (2018)
3.2G	Saw X (2023)
9.7G	Scream (2022)
7.9G	Scream VI (2023)
12G	Secret Superstar (2017)
7.2G	Seethamma Vakitlo Sirimalle Chettu (2013)
3.4G	Seetimaarr (2021)
2.5G	Sehari (2022)
2.3G	Shailaja Reddy Alludu (2018)
8.3G	Shamitabh (2015)
2.8G	Shang-Chi and the Legend of the Ten Rings (2021)
2.7G	Shazam! (2019)
2.2G	Shazam꞉ Fury of the Gods (2023)
2.9G	Sherlock Holmes (2009)
5.1G	Shivam (2015)
5.6G	Shotgun Wedding (2022)
7.7G	Shyam Singha Roy (2021)
2.1G	SiR (2023)
4.1G	Skanda꞉ The Attacker (2023)
14G	Sky High (2005)
2.0G	Skyscraper (2018)
7.2G	Smile (2022)
8.9G	Smile 2 (2024)
2.6G	Snake Eyes (2021)
5.7G	Snowed-Inn Christmas (2017)
2.8G	Snowpiercer (2013)
4.1G	Soggade Chinni Nayana (2016)
1.3G	Solo Brathuke So Better (2020)
13G	Son of Satyamurthy (2015)
3.7G	Sonic꞉ The Hedgehog 1 (2020)
6.3G	Sonic꞉ The Hedgehog 2 (2022)
5.1G	Sonic꞉ The Hedgehog 3 (2024)
7.5G	Source Code (2011)
7.4G	Speak No Evil (2024)
2.5G	Spider-Man 1 (2002)
2.7G	Spider-Man 2 (2004) [EXTENDED CUT]
2.9G	Spider-Man 3 (2007)
8.7G	Spider-Man꞉ Across the Spider-Verse - Part 1 (2023)
3.1G	Spider-Man꞉ Far From Home (2019)
2.7G	Spider-Man꞉ Homecoming (2017)
3.2G	Spider-Man꞉ No Way Home (2021) [EXTENDED CUT]
6.7G	Spyder (2017)
4.7G	Sreekaram (2021)
5.9G	Srimanthudu (2015)
5.2G	Srirastu Subhamastu (2016)
4.7G	Stree (2018)
9.6G	Street Dancer 3D (2020)
6.4G	Student of the Year (2012)
10G	Subham (2025)
2.0G	Subrahmanyapuram (2018)
13G	Sultan (2016)
2.9G	Supreme (2016)
7.8G	Sye Raa Narasimha Reddy (2019)
3.1G	Tadap (2021)
5.6G	Taken (2008) [EXTENDED CUT]
3.1G	Tegimpu (2023)
5.0G	Tej I Love U (2018)
5.1G	Temper (2015)
13G	TENET (2020)
4.4G	Teri Baaton Mein Aisa Uljha Jiya (2024)
4.7G	Thandel (2025)
8.5G	Thank You (2022)
3.3G	The Accountant (2016)
3.4G	The Adam Project (2022)
2.8G	The Adventures of Tintin (2011)
5.9G	The Age of Adaline (2015)
6.3G	The Amateur (2025)
4.2G	The Amazing Spider-Man 1 (2012)
3.4G	The Amazing Spider-Man 2 (2014)
16G	The Batman (2022)
4.0G	The Beekeeper (2024)
5.7G	The Christmas Contract (2018)
7.7G	The Commuter (2018)
2.3G	The Conjuring (2013)
3.0G	The Conjuring 2 (2016)
2.3G	The Conjuring 3∶ The Devil Made Me Do It (2021)
7.9G	The Covenant (2023)
8.4G	The Dark Knight (2008)
7.7G	The Dark Knight Rises (2012)
3.0G	The Equalizer (2014)
2.7G	The Equalizer 2 (2018)
3.0G	The Equalizer 3 (2023)
3.5G	The Fall Guy (2024)
2.4G	The Family Plan (2023)
3.2G	The Family Star (2024)
2.8G	The Flash (2023)
7.8G	The Gentlemen (2020)
3.1G	The Ghost (2022)
2.5G	The Gray Man (2022)
7.0G	The Guilty (2021)
2.3G	The Incredible Hulk (2008)
2.4G	The Invisible Man (2020)
11G	The Man from U.N.C.L.E. (2015)
6.9G	The Man Who Knew Infinity (2015)
6.9G	The Map of Tiny Perfect Things (2021)
7.4G	The Martian (2015) [EXTENDED CUT]
5.5G	The Marvels (2023)
7.2G	The Maze Runner (2014)
2.8G	The Maze Runner꞉ The Death Cure (2018)
2.6G	The Maze Runner꞉ The Scorch Trials (2015)
2.7G	The Meg (2018)
3.2G	The Meg 2꞉ The Trench (2023)
2.8G	The Ministry of Ungentlemanly Warfare (2024)
8.1G	The Mummy (2017)
2.8G	The Nun (2018)
